attack_type,count,diff_srv_rate,difficulty_level,dst_bytes,dst_host_count,dst_host_diff_srv_rate,dst_host_rerror_rate,dst_host_same_src_port_rate,dst_host_same_srv_rate,dst_host_serror_rate,dst_host_srv_count,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate,dst_host_srv_serror_rate,duration,flag,generation_timestamp,hot,is_guest_login,is_host_login,label,land,logged_in,num_access_files,num_compromised,num_failed_logins,num_file_creations,num_outbound_cmds,num_root,num_shells,protocol_type,rerror_rate,root_shell,same_srv_rate,sample_id,serror_rate,service,src_bytes,srv_count,srv_diff_host_rate,srv_rerror_rate,srv_serror_rate,su_attempted,sub_label,urgent,wrong_fragment,synthetic
normal,2,0.0,21,105,255,0.66,0.0,0.95,0.01,0.0,2,0.0,0.0,0.0,575,SF,,0,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,1.0,,0.0,other,145,2,0.0,0.0,0.0,0,normal,0,0,0
normal,7,0.0,21,3508,131,0.0,0.0,0.01,1.0,0.0,255,0.02,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,326,15,0.13,0.0,0.0,0,normal,0,0,0
normal,2,0.0,21,2090,37,0.0,0.0,0.03,1.0,0.0,255,0.03,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,230,6,0.33,0.0,0.0,0,normal,0,0,0
loadmodule,2,0.0,15,7100,6,0.0,0.0,1.0,1.0,0.0,6,0.25,0.0,0.0,1,SF,1750431288.6690443,2,0,0,1,0,1,0,1,0,0,0,1,0,tcp,0.0,1,1.0,mal_18_1,0.0,ftp_data,0,2,0.0,0.0,0.0,0,u2r,0,0,1
normal,1,0.0,21,330,190,0.03,0.01,0.01,0.67,0.0,127,0.0,0.0,0.0,1,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,smtp,795,2,1.0,0.0,0.0,0,normal,0,0,0
normal,75,0.0,20,150,230,0.0,0.0,0.0,1.0,0.0,230,0.0,0.0,0.0,45,SF,1750431545.9718773,0,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,1.0,ben_84_1,0.0,domain_u,60,100,0.01,0.0,0.0,0,normal,0,0,1
normal,1,0.0,21,0,4,0.0,1.0,0.25,1.0,0.0,243,0.25,0.98,0.0,0,REJ,,0,0,0,0,0,0,0,0,0,0,0,0,0,tcp,1.0,0,1.0,,0.0,http,0,1,0.0,1.0,0.0,0,normal,0,0,0
rootkit,3,0.0,16,350,4,0.0,0.0,0.5,1.0,0.0,4,0.0,0.0,0.0,0,SF,1750431247.6304638,3,0,0,1,0,1,1,4,1,1,0,2,0,tcp,0.0,1,1.0,mal_7_3,0.0,telnet,75,3,0.0,0.0,0.0,0,u2r,0,0,1
normal,1,0.0,19,48165,194,0.05,0.01,0.01,0.02,0.01,3,0.0,0.33,0.0,177,SF,,0,0,0,0,0,1,0,2,0,0,0,2,0,tcp,0.0,0,1.0,,0.0,telnet,206,1,0.0,0.0,0.0,0,normal,0,0,0
loadmodule,3,0.0,14,3200,6,0.0,0.0,1.0,1.0,0.0,6,0.17,0.0,0.0,0,SF,1750431246.7555149,2,0,0,1,0,1,0,1,0,1,0,1,0,tcp,0.0,1,1.0,mal_5_2,0.0,ftp_data,0,3,0.0,0.0,0.0,0,u2r,0,0,1
rootkit,3,0.0,17,400,4,0.0,0.0,0.6,1.0,0.0,4,0.0,0.0,0.0,0,SF,1750431288.8491533,3,0,0,1,0,1,0,4,0,2,0,1,1,tcp,0.0,1,1.0,mal_21_3,0.0,telnet,90,3,0.0,0.0,0.0,1,u2r,0,0,1
normal,8,0.0,21,1125,142,0.0,0.0,0.01,1.0,0.0,255,0.04,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,324,8,0.0,0.0,0.0,0,normal,0,0,0
normal,20,0.0,21,10861,20,0.0,0.0,0.05,1.0,0.0,255,0.01,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,216,36,0.06,0.0,0.0,0,normal,0,0,0
normal,1,0.0,21,363,150,0.05,0.0,0.01,0.43,0.0,65,0.0,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,smtp,1901,1,0.0,0.0,0.0,0,normal,0,0,0
normal,55,0.03,19,230,120,0.02,0.0,0.0,0.96,0.0,115,0.01,0.0,0.0,45,SF,1750431510.9958074,0,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,0.97,ben_74_1,0.0,domain_u,60,70,0.02,0.0,0.0,0,normal,0,0,1
rootkit,3,0.0,17,180,4,0.0,0.0,0.4,1.0,0.0,4,0.0,0.0,0.0,0,SF,1750431288.6880443,2,0,0,1,0,1,0,4,0,1,0,2,0,tcp,0.0,1,1.0,mal_23_2,0.0,telnet,90,3,0.0,0.0,0.0,1,u2r,0,0,1
normal,7,0.0,21,379,255,0.0,0.0,0.01,1.0,0.0,255,0.0,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,250,7,0.0,0.0,0.0,0,normal,0,0,0
rootkit,3,0.0,16,230,4,0.0,0.0,0.6,1.0,0.0,4,0.0,0.0,0.0,0,SF,1750431247.5324843,3,0,0,1,0,1,1,4,0,1,0,2,0,tcp,0.0,1,1.0,mal_0_3,0.0,telnet,110,3,0.0,0.0,0.0,1,u2r,0,0,1
normal,60,0.01,19,150,210,0.0,0.0,0.0,1.0,0.0,208,0.0,0.0,0.0,120,SF,1750431418.8616865,0,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,0.99,ben_51_1,0.0,domain_u,60,55,0.01,0.0,0.0,0,normal,0,0,1
normal,1,0.0,20,0,57,0.07,0.0,0.33,0.33,0.0,37,0.05,0.0,0.0,0,SF,,0,0,0,0,0,0,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,ftp_data,151,1,0.0,0.0,0.0,0,normal,0,0,0
normal,18,0.0,18,4500,50,0.0,0.0,1.0,1.0,0.0,50,0.0,0.0,0.0,8,SF,1750431560.420105,0,0,0,0,0,1,0,0,0,1,0,0,0,tcp,0.0,0,1.0,ben_94_2,0.0,ftp_data,1100,20,0.0,0.0,0.0,0,normal,0,0,1
normal,1,0.0,21,3047,17,0.0,0.0,0.06,1.0,0.0,255,0.05,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,247,19,0.26,0.0,0.0,0,normal,0,0,0
normal,55,0.0,21,334,56,0.0,0.0,0.02,1.0,0.0,255,0.03,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,206,55,0.0,0.0,0.0,0,normal,0,0,0
phf,5,0.0,9,17500,30,0.0,0.99,0.0,0.96,0.0,28,0.0,0.99,0.0,1,RSTO,1750431422.402126,0,0,0,1,0,0,0,0,2,0,0,0,0,tcp,1.0,0,1.0,mal_49_4,0.0,http,50,5,0.0,1.0,0.0,0,r2l,0,0,1
normal,30,0.0,18,8500,90,0.0,0.0,1.0,1.0,0.0,90,0.0,0.0,0.0,10,SF,1750431456.056941,0,0,0,0,0,1,0,0,0,1,0,0,0,tcp,0.0,0,1.0,ben_60_2,0.0,ftp_data,1000,30,0.0,0.0,0.0,0,normal,0,0,1
normal,40,0.03,21,150,140,0.01,0.0,0.0,0.97,0.0,138,0.01,0.0,0.0,15,SF,1750431457.8670359,0,0,0,0,0,0,0,0,0,0,0,0,0,icmp,0.0,0,0.96,ben_65_4,0.0,ecr_i,100,42,0.01,0.0,0.0,0,normal,0,0,1
rootkit,2,0.0,17,350,3,0.0,0.0,0.4,1.0,0.0,3,0.0,0.0,0.0,0,SF,1750431288.6018593,3,0,0,1,0,1,0,4,0,1,0,2,1,tcp,0.0,1,1.0,mal_22_3,0.0,telnet,110,2,0.0,0.0,0.0,0,u2r,0,0,1
normal,3,1.0,19,0,255,0.01,0.0,0.08,0.07,0.0,17,0.0,0.0,0.0,0,SF,,0,0,0,0,0,0,0,0,0,0,0,0,0,icmp,0.0,0,0.33,,0.0,urp_i,181,1,0.0,0.0,0.0,0,normal,0,0,0
normal,12,0.0,18,0,239,0.02,0.05,0.2,0.2,0.0,55,0.04,0.0,0.0,0,SF,,0,0,0,0,0,0,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,ftp_data,10272,12,0.0,0.0,0.0,0,normal,0,0,0
normal,1,0.0,21,584,20,0.0,0.0,0.05,1.0,0.0,255,0.04,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,232,1,0.0,0.0,0.0,0,normal,0,0,0
warezclient,3,0.0,10,6750000,15,0.0,0.94,0.0,1.0,0.0,15,0.0,0.95,0.0,0,RSTO,1750431333.8200252,0,0,0,1,0,0,0,0,4,0,0,0,0,tcp,0.96,0,1.0,mal_32_0,0.0,ftp_data,0,3,0.0,0.97,0.0,0,r2l,0,0,1
normal,17,0.0,21,835,17,0.0,0.0,0.06,1.0,0.0,255,0.02,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,212,17,0.0,0.0,0.0,0,normal,0,0,0
normal,25,0.02,19,12500,210,0.01,0.0,0.0,0.98,0.0,205,0.0,0.0,0.0,15,SF,1750431546.5104654,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,0.97,ben_87_0,0.0,http,350,23,0.01,0.0,0.0,0,normal,0,0,1
guess_passwd,5,0.0,10,16000,20,0.0,0.92,0.0,1.0,0.01,20,0.0,0.92,0.01,0,RSTO,1750431346.0559003,0,0,0,1,0,0,0,0,2,0,0,0,0,tcp,0.95,0,1.0,mal_35_4,0.01,http,30,5,0.0,0.96,0.0,0,r2l,0,0,1
normal,1,0.0,21,87,255,0.01,0.0,0.01,0.96,0.0,245,0.0,0.0,0.0,0,SF,,0,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,1.0,,0.0,domain_u,33,3,1.0,0.0,0.0,0,normal,0,0,0
normal,1,0.0,21,331,179,0.02,0.0,0.01,0.76,0.0,193,0.01,0.0,0.0,1,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,smtp,1114,3,1.0,0.0,0.0,0,normal,0,0,0
normal,8,0.5,21,105,255,0.6,0.0,0.88,0.01,0.0,2,0.0,0.0,0.0,4823,SF,,0,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,0.25,,0.0,other,147,2,0.0,0.0,0.0,0,normal,0,0,0
loadmodule,2,0.0,15,150,6,0.0,0.0,1.0,1.0,0.0,6,0.15,0.0,0.0,0,SF,1750431422.3871257,2,0,0,1,0,1,0,1,0,0,0,1,0,tcp,0.0,1,1.0,mal_49_2,0.0,ftp_data,30,2,0.0,0.0,0.0,0,u2r,0,0,1
normal,2,0.0,20,0,189,0.02,0.01,0.2,0.2,0.0,76,0.03,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,ftp_data,501760,2,0.0,0.0,0.0,0,normal,0,0,0
normal,22,0.0,21,1686,185,0.0,0.0,0.01,1.0,0.0,255,0.01,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,331,23,0.09,0.0,0.0,0,normal,0,0,0
normal,6,0.0,21,622,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,206,7,0.29,0.0,0.0,0,normal,0,0,0
normal,1,0.0,21,337,238,0.02,0.0,0.0,0.53,0.0,143,0.01,0.0,0.0,5,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,smtp,1106,1,0.0,0.0,0.0,0,normal,0,0,0
normal,45,0.02,19,10800,120,0.03,0.0,0.0,0.95,0.0,115,0.02,0.0,0.0,18,SF,1750431546.5754642,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,0.98,ben_86_0,0.0,http,320,50,0.01,0.0,0.0,0,normal,0,0,1
rootkit,3,0.0,16,250,4,0.0,0.0,0.6,1.0,0.0,4,0.0,0.0,0.0,0,SF,1750431374.0913372,3,0,0,1,0,1,0,2,0,1,0,1,0,tcp,0.0,1,1.0,mal_36_1,0.0,telnet,85,3,0.0,0.0,0.0,1,u2r,0,0,1
normal,35,0.0,20,210,200,0.01,0.0,0.0,0.98,0.0,195,0.0,0.0,0.0,300,SF,1750431563.255542,0,1,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,1.0,ben_95_1,0.0,domain_u,180,38,0.05,0.0,0.0,0,normal,0,0,1
normal,30,0.0,20,4300,70,0.0,0.0,0.0,0.99,0.0,69,0.0,0.0,0.0,8,SF,1750431512.0683286,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,ben_79_3,0.0,telnet,350,32,0.0,0.0,0.0,0,normal,0,0,1
normal,18,0.02,19,7800,200,0.01,0.0,0.0,0.98,0.0,198,0.0,0.0,0.0,15,SF,1750431546.3540027,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,0.98,ben_85_0,0.0,http,350,20,0.0,0.0,0.0,0,normal,0,0,1
normal,15,0.0,21,230,20,0.0,0.0,0.1,1.0,0.0,20,0.0,0.0,0.0,7,SF,1750431512.131357,0,0,1,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,ben_78_3,0.0,telnet,110,15,0.0,0.0,0.0,0,normal,0,0,1
normal,1,0.0,21,105,234,0.44,0.0,0.82,0.0,0.0,1,0.0,0.0,0.0,2597,SF,,0,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,1.0,,0.0,other,147,1,0.0,0.0,0.0,0,normal,0,0,0
normal,35,0.08,18,50,80,0.02,0.0,0.0,0.95,0.0,78,0.01,0.0,0.0,15,SF,1750431431.6646047,0,0,0,0,0,0,0,0,0,0,0,0,0,icmp,0.0,0,0.92,ben_58_4,0.0,ecr_i,40,40,0.1,0.0,0.0,0,normal,0,0,1
normal,3,0.0,18,327,91,0.07,0.0,0.01,0.48,0.03,136,0.01,0.0,0.02,1,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.33,smtp,941,3,0.0,0.0,0.33,0,normal,0,0,0
normal,25,0.0,21,3159,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,294,25,0.0,0.0,0.0,0,normal,0,0,0
rootkit,3,0.0,17,350,4,0.0,0.0,0.6,1.0,0.0,4,0.0,0.0,0.0,0,SF,1750431333.2405865,4,0,0,1,0,1,0,4,0,2,0,3,1,tcp,0.0,1,1.0,mal_29_2,0.0,telnet,140,3,0.0,0.0,0.0,1,u2r,0,0,1
normal,6,0.0,21,9676,62,0.0,0.0,0.02,1.0,0.0,255,0.05,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,244,13,0.15,0.0,0.0,0,normal,0,0,0
normal,35,0.03,20,3200,210,0.01,0.0,0.0,0.98,0.0,200,0.0,0.0,0.0,60,SF,1750431511.2347689,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,0.97,ben_75_4,0.0,http,2800,40,0.01,0.0,0.0,0,normal,0,0,1
normal,2,0.0,18,0,255,0.07,0.0,0.02,0.02,0.92,5,0.0,0.0,0.0,0,SF,,0,0,0,0,0,0,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,ftp_data,74,2,0.0,0.0,0.0,0,normal,0,0,0
normal,13,0.0,21,282,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,295,31,0.16,0.0,0.0,0,normal,0,0,0
normal,1,0.0,21,761,104,0.0,0.0,0.01,1.0,0.0,255,0.02,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,326,10,0.3,0.0,0.0,0,normal,0,0,0
normal,15,0.0,21,6845,38,0.0,0.0,0.03,1.0,0.0,255,0.04,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,208,15,0.0,0.0,0.0,0,normal,0,0,0
normal,22,0.05,18,95,75,0.04,0.0,0.0,0.93,0.0,70,0.02,0.0,0.0,10,SF,1750431420.5730789,0,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,0.95,ben_55_4,0.0,domain_u,22,27,0.04,0.0,0.0,0,normal,0,0,1
normal,150,0.0,20,150,230,0.0,0.0,0.0,1.0,0.0,230,0.0,0.0,0.0,45,SF,1750431547.029406,0,0,0,0,0,0,0,0,0,0,0,0,0,udp,0.0,0,1.0,ben_88_1,0.0,domain_u,60,160,0.01,0.0,0.0,0,normal,0,0,1
guess_passwd,4,0.0,11,15000,30,0.0,0.9,0.05,1.0,0.0,30,0.0,0.9,0.0,1,SF,1750431288.3444297,0,0,0,1,0,0,0,0,3,0,0,0,0,tcp,0.96,0,1.0,mal_17_1,0.0,telnet,20,4,0.0,0.94,0.0,0,r2l,0,0,1
phf,5,0.0,9,11000,25,0.0,0.92,0.0,1.0,0.01,25,0.0,0.93,0.0,2,RSTO,1750431300.0819154,1,0,0,1,0,0,0,0,2,0,0,0,0,tcp,0.93,0,1.0,mal_20_4,0.01,http,42,5,0.0,0.95,0.0,0,r2l,0,0,1
normal,17,0.0,21,3426,43,0.0,0.0,0.02,1.0,0.0,255,0.04,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,212,52,0.06,0.0,0.0,0,normal,0,0,0
normal,25,0.03,19,2800,150,0.02,0.0,0.0,0.98,0.0,140,0.01,0.0,0.0,15,SF,1750431417.78799,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,0.97,ben_50_0,0.0,http,350,22,0.01,0.0,0.0,0,normal,0,0,1
normal,1,0.0,21,333,20,0.2,0.0,0.05,0.6,0.0,160,0.02,0.0,0.01,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,smtp,2582,1,0.0,0.0,0.0,0,normal,0,0,0
normal,30,0.0,20,300,60,0.0,0.0,0.0,1.0,0.0,60,0.0,0.0,0.0,10,SF,1750431434.2888453,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,ben_59_3,0.0,telnet,150,30,0.0,0.0,0.0,0,normal,0,0,1
normal,15,0.03,18,7000,50,0.02,0.0,0.01,0.95,0.0,48,0.01,0.0,0.0,18,SF,1750431511.1557999,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,0.95,ben_73_2,0.0,ftp_data,4800,14,0.02,0.0,0.0,0,normal,0,0,1
loadmodule,3,0.0,15,2200,6,0.0,0.0,1.0,1.0,0.0,6,0.15,0.0,0.0,0,SF,1750431288.3474355,2,0,0,1,0,1,1,2,0,1,0,1,0,tcp,0.0,1,1.0,mal_17_2,0.0,ftp_data,0,3,0.0,0.0,0.0,1,u2r,0,0,1
normal,21,0.0,21,263,255,0.0,0.0,0.0,1.0,0.0,255,0.0,0.0,0.0,0,SF,,0,0,0,0,0,1,0,0,0,0,0,0,0,tcp,0.0,0,1.0,,0.0,http,285,27,0.11,0.0,0.0,0,normal,0,0,0
