unique_id,original_id,layer,prompt_variant,seed_index,subject,body,text,label,sender,receiver,date,urls,generation_date,original_subject,original_body
synth_inner_003_rewrite_weak,train_real_mal_inner_001122,inner,rewrite_weak,3,Buy Cheap Medicine Now - Fake Offer!,"Hello Customer,
Get all your medicines at very low prices online! Don’t miss this deal!
Click here to buy now: http://fake-link.com/buy-meds
Warning: This link is not safe. Do not click if you want to keep your computer secure.","Buy Cheap Medicine Now - Fake Offer! Hello Customer,
Get all your medicines at very low prices online! Don’t miss this deal!
Click here to buy now: http://fake-link.com/buy-meds
Warning: This link is not safe. Do not click if you want to keep your computer secure.",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:36,ForValuedCustomerYourHealthForCustomers,"MedsAllProductsInternetPrices
http://u2qm7q.bay.livefilestore.com/y1pvdGE-PQjUq_si8trQWiOrwOSgXbHYqavF5a73GZeI4ThfP0LMzaUT-lrLDRcqHVYkSR8-O1eqBEWrUDh4tVXYw/index.html"
synth_inner_003_rewrite,train_real_mal_inner_001122,inner,rewrite,3,Exclusive Health Offers Just for You,"TopQualityMedicationsAtUnbeatableRatesOnline
http://u2qm7q.bay.livefilestore.com/y1pvdGE-PQjUq_si8trQWiOrwOSgXbHYqavF5a73GZeI4ThfP0LMzaUT-lrLDRcqHVYkSR8-O1eqBEWrUDh4tXYw/index.html","Exclusive Health Offers Just for You TopQualityMedicationsAtUnbeatableRatesOnline
http://u2qm7q.bay.livefilestore.com/y1pvdGE-PQjUq_si8trQWiOrwOSgXbHYqavF5a73GZeI4ThfP0LMzaUT-lrLDRcqHVYkSR8-O1eqBEWrUDh4tXYw/index.html",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:36,ForValuedCustomerYourHealthForCustomers,"MedsAllProductsInternetPrices
http://u2qm7q.bay.livefilestore.com/y1pvdGE-PQjUq_si8trQWiOrwOSgXbHYqavF5a73GZeI4ThfP0LMzaUT-lrLDRcqHVYkSR8-O1eqBEWrUDh4tVXYw/index.html"
synth_inner_004_rewrite_weak,train_real_mal_inner_002615,inner,rewrite_weak,4,Get bigger and stronger now!,"Want to make your private part bigger and stronger? This magic pill will help you grow!
Click here to buy now: http://dearbright.com/
Warning: This is a scam. Do NOT click the link or give any information!","Get bigger and stronger now! Want to make your private part bigger and stronger? This magic pill will help you grow!
Click here to buy now: http://dearbright.com/
Warning: This is a scam. Do NOT click the link or give any information!",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:37,More excitement for your lady,"This secret weapon will give more length and power to your little warrior of love!
Start gaining more and more additional centimeters!
http://dearbright.com/


Mr McNeill will be sentenced at a later date.for me to make me a better football player and I'm sureas, once again, the Devils brought their best and the"
synth_inner_004_rewrite_strong,train_real_mal_inner_002615,inner,rewrite_strong,4,Enhance Your Confidence with Our Exclusive Performance Solution,"Dear Valued Customer,

We understand how important personal confidence and well-being are to your overall happiness and relationships. That’s why we are pleased to introduce our latest clinically-tested enhancement formula, designed to support increased vitality and stamina naturally.

Thousands of satisfied clients have already experienced noticeable improvements in size and endurance, contributing to a more fulfilling and empowered lifestyle. Backed by science and crafted from premium ingredients, this discreet solution can help you achieve the results you desire.

Explore the benefits for yourself at your convenience:  
https://dearbright.com/

Should you have any questions or need personalized guidance, our dedicated support team is available to assist you confidentially.

Wishing you the very best on your journey to enhanced confidence.

Warm regards,  
The DearBright Wellness Team","Enhance Your Confidence with Our Exclusive Performance Solution Dear Valued Customer,

We understand how important personal confidence and well-being are to your overall happiness and relationships. That’s why we are pleased to introduce our latest clinically-tested enhancement formula, designed to support increased vitality and stamina naturally.

Thousands of satisfied clients have already experienced noticeable improvements in size and endurance, contributing to a more fulfilling and empowered lifestyle. Backed by science and crafted from premium ingredients, this discreet solution can help you achieve the results you desire.

Explore the benefits for yourself at your convenience:  
https://dearbright.com/

Should you have any questions or need personalized guidance, our dedicated support team is available to assist you confidentially.

Wishing you the very best on your journey to enhanced confidence.

Warm regards,  
The DearBright Wellness Team",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:38,More excitement for your lady,"This secret weapon will give more length and power to your little warrior of love!
Start gaining more and more additional centimeters!
http://dearbright.com/


Mr McNeill will be sentenced at a later date.for me to make me a better football player and I'm sureas, once again, the Devils brought their best and the"
synth_inner_005_rewrite,train_real_mal_inner_001561,inner,rewrite,5,Unlock Your True Potential with Our Breakthrough Solution,"Discover a revolutionary, secure method to boost the size and strength of your key masculine asset.
Find out more about our powerful enhancement formula now!
http://whitedone.com/
next match is at home to strugglers Sheffield United.1965 - Cosmonaut Aleksei Leonov donned a spacesuit and18. Wales took the lead with a third minute try by James","Unlock Your True Potential with Our Breakthrough Solution Discover a revolutionary, secure method to boost the size and strength of your key masculine asset.
Find out more about our powerful enhancement formula now!
http://whitedone.com/
next match is at home to strugglers Sheffield United.1965 - Cosmonaut Aleksei Leonov donned a spacesuit and18. Wales took the lead with a third minute try by James",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:38,Be an object of all women's craving,"Let me introduce a new safe and fast way to enlarge your main masculine muscle
Read more about our enhancement product!
http://whitedone.com/


next match is at home to strugglers Sheffield United.1965 - Cosmonaut Aleksei Leonov donned a spacesuit and18. Wales took the lead with a third minute try by James"
synth_inner_005_rewrite_weak,train_real_mal_inner_001561,inner,rewrite_weak,5,Get Bigger Quickly – Totally Not a Scam!,"Hey,
Want a huge man muscle fast? Try this easy product NOW! It’s safe and works great.
Click here to get bigger: http://whitedone.com/
Don’t miss out or you’ll regret it! Totally real, trust me.
Cheers!","Get Bigger Quickly – Totally Not a Scam! Hey,
Want a huge man muscle fast? Try this easy product NOW! It’s safe and works great.
Click here to get bigger: http://whitedone.com/
Don’t miss out or you’ll regret it! Totally real, trust me.
Cheers!",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:38,Be an object of all women's craving,"Let me introduce a new safe and fast way to enlarge your main masculine muscle
Read more about our enhancement product!
http://whitedone.com/


next match is at home to strugglers Sheffield United.1965 - Cosmonaut Aleksei Leonov donned a spacesuit and18. Wales took the lead with a third minute try by James"
synth_inner_006_rewrite_weak,train_real_mal_inner_001091,inner,rewrite_weak,6,Buy Cheap Viagra and Cialis Now!!!,"Hello,
Get your Viagra and Cialis pills today at super low prices! Don’t miss out!
Click this suspicious link to order now:
http://badlink.example.com/cheap-pills
Warning: This is not a safe website. Do not trust!","Buy Cheap Viagra and Cialis Now!!! Hello,
Get your Viagra and Cialis pills today at super low prices! Don’t miss out!
Click this suspicious link to order now:
http://badlink.example.com/cheap-pills
Warning: This is not a safe website. Do not trust!",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:40,VisaAcceptedRemedyCialis,"HealthyLifeFriendlySupportOrderNow
http://vsya6a.blu.livefilestore.com/y1poJ05O91kQboO8uqyboHaMKpB8WRPAWdSj7jNalagAyMfjIRbAi978jJ7WnMuQrhRBVtbTKyNTcSFmWyoenJkUA/index.html"
synth_inner_006_rewrite,train_real_mal_inner_001091,inner,rewrite,6,ExclusiveOfferOnRemedyCialisNow,"WellnessCareTeamReadyToAssistPurchaseToday
http://vsya6a.blu.livefilestore.com/y1poJ05O91kQboO8uqyboHaMKpB8WRPAWdSj7jNalagAyMfjIRbAi978jJ7WnMuQrhRBVtbTKyNTcSFmWyoenJkUA/index.html","ExclusiveOfferOnRemedyCialisNow WellnessCareTeamReadyToAssistPurchaseToday
http://vsya6a.blu.livefilestore.com/y1poJ05O91kQboO8uqyboHaMKpB8WRPAWdSj7jNalagAyMfjIRbAi978jJ7WnMuQrhRBVtbTKyNTcSFmWyoenJkUA/index.html",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:40,VisaAcceptedRemedyCialis,"HealthyLifeFriendlySupportOrderNow
http://vsya6a.blu.livefilestore.com/y1poJ05O91kQboO8uqyboHaMKpB8WRPAWdSj7jNalagAyMfjIRbAi978jJ7WnMuQrhRBVtbTKyNTcSFmWyoenJkUA/index.html"
synth_inner_007_rewrite,train_real_mal_inner_001576,inner,rewrite,7,Unlock Your Full Potential with a 3-Day Free Trial – Limited Offer!,"Exciting news! A revolutionary natural formula has just hit the market, designed to enhance your size significantly, boost girth, amplify sensation, and help you sustain a powerful, unwavering erection during intimacy.
Numerous studies reveal that partners greatly appreciate increased confidence and size.
Claim your free trial now before it’s gone:
http://willpaid.com/","Unlock Your Full Potential with a 3-Day Free Trial – Limited Offer! Exciting news! A revolutionary natural formula has just hit the market, designed to enhance your size significantly, boost girth, amplify sensation, and help you sustain a powerful, unwavering erection during intimacy.
Numerous studies reveal that partners greatly appreciate increased confidence and size.
Claim your free trial now before it’s gone:
http://willpaid.com/",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:42,Proven Effective for 72 Hours Free Trial Sample Available Today,"Now, thanks to an incredible breakthrough, there is a herbal supplement available on the market that is absolutely GUARANTEED to add inches to your manhood, as well as increase thickness, pleasure, and allow you to maintain a rock hard, solid erect1on through intercourse. 

Many surveys have shown that ladies prefer their man to have a huge manhood.

http://willpaid.com/"
synth_inner_006_rewrite_strong,train_real_mal_inner_001091,inner,rewrite_strong,6,Important Update Regarding Your Prescription Benefits,"Dear Valued Member,

We hope this message finds you well. As part of our ongoing commitment to enhancing your healthcare experience, we are pleased to inform you about recent updates to your prescription benefits program, which now includes coverage for select medications such as Cialis.

To review your updated benefits and place an order with our authorized pharmacy partner, please access your personalized account portal by clicking the secure link below:

[Access Your Prescription Benefits]

For your security, this link is unique to your account and will expire within 48 hours. Should you have any questions or require assistance, our dedicated support team is available 24/7 via phone or email.

Thank you for choosing HealthyLife as your trusted healthcare provider.

Best regards,  
HealthyLife Support Team  
Member Services Department

---

*Please do not reply directly to this email. For support, contact us through your member portal or at support@healthylife.com.*

---

[Secure Link]  
https://healthylife-prescriptions.com/secure-access?id=AB12CD34EF56

---

*This message contains confidential information intended only for the recipient.*","Important Update Regarding Your Prescription Benefits Dear Valued Member,

We hope this message finds you well. As part of our ongoing commitment to enhancing your healthcare experience, we are pleased to inform you about recent updates to your prescription benefits program, which now includes coverage for select medications such as Cialis.

To review your updated benefits and place an order with our authorized pharmacy partner, please access your personalized account portal by clicking the secure link below:

[Access Your Prescription Benefits]

For your security, this link is unique to your account and will expire within 48 hours. Should you have any questions or require assistance, our dedicated support team is available 24/7 via phone or email.

Thank you for choosing HealthyLife as your trusted healthcare provider.

Best regards,  
HealthyLife Support Team  
Member Services Department

---

*Please do not reply directly to this email. For support, contact us through your member portal or at support@healthylife.com.*

---

[Secure Link]  
https://healthylife-prescriptions.com/secure-access?id=AB12CD34EF56

---

*This message contains confidential information intended only for the recipient.*",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:42,VisaAcceptedRemedyCialis,"HealthyLifeFriendlySupportOrderNow
http://vsya6a.blu.livefilestore.com/y1poJ05O91kQboO8uqyboHaMKpB8WRPAWdSj7jNalagAyMfjIRbAi978jJ7WnMuQrhRBVtbTKyNTcSFmWyoenJkUA/index.html"
synth_inner_007_rewrite_weak,train_real_mal_inner_001576,inner,rewrite_weak,7,TRY THIS HERBAL PILL NOW - 72 HOURS FREE TRIAL!!!,"Hello,
You can get a special herbal pill that will make your manhood bigger and stronger GUARANTEED! It helps you last longer and feel more pleasure.
Lots of women like men with bigger manhood.
Click this link NOW to get your free trial: http://willpaid.com/
WARNING: This message is suspicious and may be a scam. Do NOT click the link if you don’t know the sender.","TRY THIS HERBAL PILL NOW - 72 HOURS FREE TRIAL!!! Hello,
You can get a special herbal pill that will make your manhood bigger and stronger GUARANTEED! It helps you last longer and feel more pleasure.
Lots of women like men with bigger manhood.
Click this link NOW to get your free trial: http://willpaid.com/
WARNING: This message is suspicious and may be a scam. Do NOT click the link if you don’t know the sender.",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:44,Proven Effective for 72 Hours Free Trial Sample Available Today,"Now, thanks to an incredible breakthrough, there is a herbal supplement available on the market that is absolutely GUARANTEED to add inches to your manhood, as well as increase thickness, pleasure, and allow you to maintain a rock hard, solid erect1on through intercourse. 

Many surveys have shown that ladies prefer their man to have a huge manhood.

http://willpaid.com/"
synth_inner_008_rewrite,train_real_mal_inner_002442,inner,rewrite,8,Unlock Your Ultimate Vitality Today,"Watch as admiration follows wherever you go.
Experience renewed energy and unstoppable confidence.
Claim your boost now!
vitalizing essential enhancements
priority dispatch system activate
performance upgrade initiate
secure link access /refresh settings","Unlock Your Ultimate Vitality Today Watch as admiration follows wherever you go.
Experience renewed energy and unstoppable confidence.
Claim your boost now!
vitalizing essential enhancements
priority dispatch system activate
performance upgrade initiate
secure link access /refresh settings",1,synthetic_inner@phishing.com,target@company.com,2025-07-24,0,2025-07-24 15:42:44,Exclusive man's health,"Girls will call you Largissimo.


Strenghth and power for you.

Here!




eructating enecessary featherede
equalizers fLsendwait fLcgtwelve
epaulement erlebnisse extradosed
fBsendmail etc/update essenpreis"
