subject,body,label,source,unique_id,seed_type
"Re: Clearly bogus false positives -- on ""abuse"" contact point, no less","Michael Scheidell wrote: >    >> From: Philip Prindeville  >> Date: Sat, 16 Feb 2008 18:44:55 -0800 >> To: Spamassassin Mailing List  >> Subject: Clearly bogus false positives -- on ""abuse"" contact point, no less >> >> Hmmm.  I think we need a BL for reporting ISP's that are clueless as to >> run filtering on their ""abuse"" mailbox (or the mailbox that's listed for >> their ARIN/RIPE AbuseEmail attributes). >> >>      > There is, but due to complaints, it was taken out of SA. (some thought that > just because you ignore abuse@ or postmaster@ email wasn't enough of a sign > that you were a spammer.  And it is 'Spam' assassin, not 'lame-admin' > assassin ;-) >    Actually, it was removed due to lack of accuracy. If a rule can't  maintain a S/O of over 0.80, or under 0.20, it's removed. >From aboick.apjzpfamg@gmail.com  Sat Apr 26 15:50:14 2008 Message-ID:  Date: Tue, 26 Feb 2008 12:35:19 -0500 From: ""Jonathan Mast""  To: soiofdvxg@perl.org Subject: Are comments allowed before package declarations in modules? MIME-Version: 1.0 Content-Type: multipart/alternative;  	boundary=""----=_Part_23407_31860252.1204047319417"" ------=_Part_23407_31860252.1204047319417 Content-Type: text/plain; charset=ISO-8859-1 Content-Transfer-Encoding: 7bit Content-Disposition: inline I seem to have a vague memory about Perl not allowing comments before program statements, but I'm not sure.  I really want to add a lot of comments at the top of a rather large module, but I'm unsure if thats safe. thanks ------=_Part_23407_31860252.1204047319417-- --blminnfadocpnifnfgmi Content-Type: message/rfc822 Content-Disposition: inline; filename=""beginners_98930.ezm"" >From fkxetb@gmail.com  Sat Apr 26 15:50:14 2008 To: soiofdvxg@perl.org From: Paul Lalli  Subject: Re: Are comments allowed before package declarations in modules? Date: Tue, 26 Feb 2008 09:51:15 -0800 (PST) Message-ID: <7b1087e4-8aff-4f19-ba23-80d556dc9815@n75g2000hsh.googlegroups.com> Mime-Version: 1.0 Content-Type: text/plain; charset=ISO-8859-1 Content-Transfer-Encoding: quoted-printable On Feb 26, 12:35=A0pm, jhmast.develo...@gmail.com (Jonathan Mast) wrote: > I seem to have a vague memory about Perl not allowing comments before > program statements, but I'm not sure. =A0I really want to add a lot of > comments at the top of a rather large module, but I'm unsure if thats safe=",0,CEAS-08,32,outlier
We are the first medication that has quality medications affordble,"

4 free blue with every order

We offer medications, shipping guaranteed to to all American States and worldwide, 24 hour client suppo...


Here are the prices
",1,CEAS-08,34,outlier
CNN Alerts: My Custom Alert,"

CNN Alerts: My Custom Alert






 



Alert Name: My Custom Alert
Drive your girl mad with this crazy coolest invention.

Fri, 8 Aug 2008 17:00:09 +0800

FULL STORY



You have agreed to receive this email from CNN.com as a result of your CNN.com preference settings.
To manage your settings click here.
To alter your alert criteria or frequency or to unsubscribe from receiving custom email alerts, click here.


Cable News Network. One CNN Center, Atlanta, Georgia 30303
© 2008 Cable News Network.
A Time Warner Company
All Rights Reserved.
View our privacy policy and terms.






",1,CEAS-08,37,outlier
Re: [SM-USERS] mail problem sent by webmail (mail sender different	problem),"
On Feb 24, 2008, at 12:09 AM, Tomas Kuliavas wrote:

>
>
> Kone Bakenon wrote:
> >
> > No more a week, one of users called me and told me about this  
> situation.
> > User X sent to user Y an email and it comes with user Z preferences.
> > User Z lives in an other town. Frequently, this kind of problem is  
> made by
> > user Z preferences.
> > Most of users when they have this kind of problem, they tell me  
> the same
> > users address (user Z email address) which is present in their
> > preferences.
> > Everything is ok in my squirrelmail except this problem.
> >
>
> Are they both using Internet Explorer?
>
> Is server's clock correct?
>
>
>
I've seen this occur for I.E. users when the clients clocks are set  
way in the past (years).

--
Marc


",0,CEAS-08,39,outlier
"White Paper Roundup:  Web Security, Creating Sticky Services, Virtual Server Management, and More","Dear Networking.com member,

Visit the Networking.com White Paper Library today and read our free
white papers.

1. Exploiting IT Networks to Create Sticky Services
   http://go.techtarget.com/r/3118578/2079970

2. Seamless Physical and Virtual Server Management
   http://go.techtarget.com/r/3118579/2079970

3. Protecting the Enterprise Network through Web Security
   http://go.techtarget.com/r/3118580/2079970

4. Optical Networks: Closing the Gap Between Patient and Caregiver
   http://go.techtarget.com/r/3118581/2079970

5. Integrating NetFlow Data into Network and Application
   Performance Monitoring
   http://go.techtarget.com/r/3118582/2079970

6. Addressing Document Imaging Security Issues 
   http://go.techtarget.com/r/3118583/2079970

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Exploiting IT Networks to Create Sticky Services
Sponsored by: Alcatel-Lucent
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
The service realm is evolving and expanding at a rapid rate with new
applications and services being developed at a dizzying pace in order
to exploit the capabilities of end-to-end IP networks. There are a
number of sticky services that are deployable over advanced IP
networks and there is no risk in doing so. Business and residential
services are going to continue to evolve under the momentum of this
innovation and individual services are going to move towards a
converged Service Delivery Environment (SDE). 

This paper details a carrier-grade SDE solution that allows you to
accelerate service innovation for personalized and blended services
through an open framework that links operator and partner
applications with shared network resources, service enhancements and
operations.

Click here to download now:
http://go.techtarget.com/r/3118584/2079970

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Seamless Physical and Virtual Server Management
Sponsored by: HP
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
As enterprise demand for new applications and capabilities shows no
sign of slowing, neither do most IT budgets show any sign of
expanding to match the need. Enterprises are turning to
virtualization to maximize platform resources, and the approach is
spreading beyond application development and testing labs to
production systems' including application and Web server
infrastructures. This white paper details how you can benefit from
virtualization and the best way to manage a virtualized system.

Download this white paper now:
http://go.techtarget.com/r/3118585/2079970

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Protecting the Enterprise Network through Web Security
Sponsored by: AT&T Corp
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
The internet is the business; however, it can also bring harm through
deliberate attacks or inadvertent risks. You must be proactive in
protecting your network, mitigating risks and helping to eliminate
threats. This paper analyzes common threats to Web security and
evaluates the three most prominent types of security controls.

Download this white paper now to learn more:
http://go.techtarget.com/r/3118586/2079970

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Optical Networks: Closing the Gap Between Patient and Caregiver
Sponsored by: AT&T Corp
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
In order to keep health care providers connected to their patients
it's imperative to provide scalable, secure bandwidth. This white
paper details optical network solutions that ensure patient safety,
increase bandwidth, and reduce the cost of managing campus-wide
networks.

Click here to download this white paper now:
http://go.techtarget.com/r/3118587/2079970

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Integrating NetFlow Data into Network and Application Performance
Monitoring
Sponsored by: NetScout Systems, Inc.
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
An easily accessible, high-performing, and always-available network
is essential to a company's business. Read this white paper and learn
how visibility into business applications and on-going traffic is
crucial for fine-tuning networking performance.

Click here to download this paper now:
http://go.techtarget.com/r/3118588/2079970

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Addressing Document Imaging Security Issues 
Sponsored by: eCopy
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Document imaging makes it possible to integrate paper documents with
existing workflow processes and business applications, e.g., e-mail,
fax, and electronic document management systems. But before
introducing paper into electronic-based processes, you want to be
sure that document imaging is safe and document integration secure.
This white paper details how to ensure that your e-documents and the
management of those documents are secure.

Download this white paper now: 
http://go.techtarget.com/r/3118589/2079970

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
NETWORKING.COM WHITE PAPER LIBRARY
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Browse hundreds of white papers by author, keyword or topics.
Visit the Networking.com White Paper Library today: 
http://go.techtarget.com/r/3118590/2079970

___________________________________________________________________
ABOUT THIS E-NEWSLETTER
This e-newsletter is published by SearchNetworking.com, a targeted
Web site from TechTarget, the IT Media ROI Experts.  TechTarget
offers magazines, Web sites, e-newsletters, Webcasts and conferences
for enterprise IT professionals. 

Copyright 2008 TechTarget. All rights reserved.

_____________________________________________________________________

To unsubscribe from ""White Paper Alerts"":
 
Go to unsubscribe: http://SearchNetworking.com/u?em=tjm%40cognosys.net&uid=2079970&cid=626548&
 
Please note, unsubscribe requests may take up to 24 hours to process;
you may receive additional mailings during that time. A confirmation
e-mail will be sent when your request has been successfully
processed.
 
Contact us:
SearchNetworking
Member Services
117 Kendrick Street, Suite 800
Needham, MA 02494


",0,CEAS-08,42,outlier
beginners Digest 11 Feb 2008 15:10:47 -0000 Issue 3383,"
beginners Digest 11 Feb 2008 15:10:47 -0000 Issue 3383

Topics (messages 98674 through 98690):

Re: opendir
	98674 by: MK
	98675 by: Telemachus
	98676 by: David Moreno
	98677 by: Jerald Sheets
	98678 by: MK
	98681 by: Randal L. Schwartz
	98682 by: John W. Krahn
	98683 by: David Moreno

Re: unwanted escaping of & with XML::DOM
	98679 by: Alois Heuboeck
	98680 by: Gunnar Hjalmarsson

regarding to create a web interface
	98684 by: Rajendra kumar chauhan
	98690 by: Kashif Salman

regarding regular expression
	98685 by: Irfan.Sayed.t-systems.com
	98686 by: John W. Krahn

Tokenizing a string
	98687 by: Allam Reddy, Thomas
	98688 by: Martin Barth
	98689 by: Thomas B�tzler

Administrivia:

To subscribe to the digest, e-mail:
	

To unsubscribe from the digest, e-mail:
	

To post to the list, e-mail:
	


----------------------------------------------------------------------
",0,CEAS-08,43,outlier
Re: [Python-Dev] 3.0 buildbots all red,"Trent Nelson wrote:
>>> Sounds like a challenge if ever I've heard one -- care to wager a beer on it?
>>> (Only applies to buildbots that are connected/online.)
> 
>> Make sure you get a screen shot for OnYourDesktop if/when they *do* go
>> green!
> 
> Screenshot?  I'm going to buy a pack of iron-on transfers and sell t-shirts of it online.
> 
>     ""All the buildbots were green momentarily after PyCon 2008...
>      ....and all I got was this lousy t-shirt.""


Momentarily? You mean they were only up for a few seconds?

_______________________________________________
Python-Dev mailing list
zvllln-eum@python.org
http://mail.python.org/mailman/listinfo/python-dev
Unsubscribe: http://mail.python.org/mailman/options/python-dev/python-dev%40tangomu.com


",0,CEAS-08,46,outlier
For:2694274a70c248b154334a7d5ab1a676 Edouard Triggers 'Cane Watch for Texas,"
Watch tJOBKAHLSCHLAGhe videoSTREIK BEI LUFTHANSA- TOCHTERN",1,CEAS-08,49,outlier
Re: [FoRK] Google is evil,"On Tue, Oct 09, 2007 at 11:58:53AM -0600, Sat N wrote:
> per, /. Google patents the idea of putting a computer in a shipping
> container..

Filed 12/30/03.  Wonder when Sun started ""Project Blackbox""?

I guess computers are inherently non-obvious,
  Aaron


",0,CEAS-08,51,outlier
"Your payment didn't succeed, so your ads have been suspended.","-------------------------
-----------------------------
---------------------
Dear Advertiser,

We were unable to process your payment.

Your ads will be suspended soon unless we can process your payment.

To prevent your ads from being suspended, please update your payment information.

Please sign into your account and update your payment information.

We look forward to providing you with the most effective advertising available.

Thank you for advertising with Google AdWords.


------------------------------------------------
---------------
-----------------------




",1,CEAS-08,57,outlier
Re:,"
Love... What is love? Love is to love someone for who they are, who they were, and who they will be. http://xhjqhx.dictionarybrown.com


",1,CEAS-08,60,outlier
Male Enhancement Reviews,"
Try it today - you have nothing to lose, just a lot to gain!

Read hundreds of testimonials from satisfied men and their girlfriends on this site. After years of scientific research, a herbal breakthrough is finally achieved - the product rated as #1 by healthcare professionals, with gains of up to 1-3 inches guaranteed, and girth increases from 5% - 30%.

http://jumpwill.com/


",1,CEAS-08,62,outlier
"For you  color=""#006626""","+++++++++++++++++++++
lovermind
"" HOw ABOUT You?""
Date Lolita 61
photos:2
Lolita 19. yrs. old
City:  Lawndale
Last activity: August 7, 2008
Relationship Type: Sex , Friendship , Just for Fun
 Los Angeles

-----------------------------------------------

About a partner of lovermind
http://ihristieit.00freehost.com/

+++++++++++++++++





















______________________________________________________________
Delite your email from my  list It can take about 2 days
helloldlf [@]  gmail[dot]com









introduce168163
of the fancies of childhood; and set me119166
for their heads took off, and showed43239



",1,CEAS-08,64,outlier
[UAI] IEEE Data Mining 2005: Call for Participation,"[Apologies if you receive this more than once]
 
 =============================================
 IEEE Data Mining 2005: Call for Participation
 =============================================
 
 
 
 The 2005 IEEE International Conference on Data Mining (ICDM)
 to be held at the Inter-Continental Hotel, 2222 West Loop 
 South Houston, TX 77027, USA
 November 27th - 30th, 2005, invites you to attend.
 
 * On-line registration (and other information) is available at
   http://www.cacs.louisiana.edu/~icdm05/
   Register by October 22nd to get the early-bird rate!
 
 * Be sure to book hotel rooms by November 17, 2005 for discounted 
   rates. 
 Hotel Website: http://www.houston.intercontinental.com/
 The three letter code to get special rate, 
 during online booking is 'S07'.
 The code for phone booking is 
 'ICDM 2005' or 'IEEE ICDM 2005'
    
 ICDM received a total of 630 paper submissions this year, from which
 69 regular papers and 72 short papers were selected for presentation.
 These papers are listed in the conference program at the above
 conference website.
 
 Conference highlights include the following.
 
 * Four Invited Talks (November 28 - 30, 2005)
   (Abstracts and schedule available at ICDM'05 Website at 
    http://www.cacs.louisiana.edu/~icdm05/)
 
 1. ""Top 10 Data Mining Mistakes""
 
     Dr. John F. Elder IV
     Chief Scientist, Elder Research, Inc., USA
 
 2. ""The Million Book Digital Library Project: Research 
      Problems in Data Mining And Discovery""
 
      Dr. Raj Reddy (Turing Award Winner)
      Mozah Bint Nasser University Professor
      of Computer Science and Robotics
      Carnegie Mellon University, USA
 
 3. ""Graphical Models for Structure Extraction and 
     Information Integration""
 
      Dr. Sunita Sarawagi 
      Associate Professor
      KR School of Information technology
      IIT Bombay, India
 
 4. ""Efficient Indexing Technology for Data Mining of 
     Scientific Data""
 
      Dr. Arie Shoshani
      Senior Staff Scientist, NSERC
      Lawrence Berkeley National Laboratory, USA
 
 * Five Tutorials (Sunday, November 27, 2005)
   (More information available at ICDM'05 Website at 
   http://www.cacs.louisiana.edu/~icdm05/)
 
 Models and Methods for Privacy-Preserving Data Mining and Data
 Publishing, ICDM'05 Invited Tutorial
 by Johannes Gehrke (3 hours, in the morning) 
 
 Clustering with Constraints
 by Sugato Basu and Ian Davidson (3 hours, in the morning) 
 
 Bioinformatics and Bioimage Analysis
 by Chris Ding and Hanchuan Peng (3 hours 20 mins, in the afternoon)
 
 Mining and Searching of Graph-Structured Databases, 
 ICDM'05 Invited Tutorial, 
 by Jiawei Han, Xifeng Yan, and Philip Yu (3 hours, in the afternoon)
 
 DMX, XML for Analysis and SQL Server Data Mining Platform,
 ICDM'05 Invited Tutorial
 by Zhaohui Tang (7:00 pm ~10:00 pm). 
 Note: this tutorial is complimentary for all conference participants
 (without any charges).
 
 * Ten Workshops (Sunday, November 27, 2005):
   (More information available at ICDM'05 Website at 
   http://www.cacs.louisiana.edu/~icdm05/)
 
  1. Multiagent Data Warehousing and Multiagent Data Mining 
     (8:00 am ~12:45 pm)
  2. Optimization-based Data Mining Techniques with Applications
     (8:00 am~12:45 pm)
  3. Data Mining Case Studies and Practice Prize
     (1:15 pm ~ 6:00 pm)
  4. Temporal Data Mining: Algorithms, Theory and Applications
     (8:00 am~6:00 pm) 
  5. Knowledge Acquisition from Distributed, Autonomous, Semantically
     Heterogeneous Data and Knowledge Sources
     (1:15 pm ~6:00 pm)
  6. Computational Intelligence in Data Mining 
     (1:15 pm ~6:00 pm)
  7. Data Mining and the Grid (1:15 pm ~6:00 pm)
  8. Foundation of Semantic Oriented Data and Web Mining 
     (8:00 am~6:00 pm) 
  9. Mining Complex Data (8:00 am ~12:45 pm)
 10. Privacy and Security Aspects of Data Mining 
     (8:00 am ~ 12:45 pm)
 
 * One Panel (2:00 pm ~ 3:00 pm, Tuesday, November 29, 2005)
   (Panelists and topics information available at ICDM'05 Website at 
    http://www.cacs.louisiana.edu/~icdm05/)
 
   Data Mining -- Where to go?
   Panel Chair: Wen-Ran Zhang
 
 * 141 Technical Paper Presentations (November 28 - 30, 2005)
 
   There are 21 sessions on:
    Time Series,
    Clustering Schemes, 
    Pattern Analysis on Text and Structured Data, 
    Quality Assessment, 
    Spatial Data and Classification Schemes, 
    Preprocessing Techniques and Feature Selection, 
    Learning Techniques, 
    Data Representation, 
    Security and Privacy, 
    Bio-Medical and Social Data Mining Applications, 
    Statistical Methods, 
    Web Data Mining Applications, Tools and Algorithms, 
    Data Mining Applications, and 
    Optimization Techniques.
 
 
 
 
_______________________________________________
uai mailing list
faq@ENGR.ORST.EDU
https://secure.engr.oregonstate.edu/mailman/listinfo/uai


",0,CEAS-08,66,outlier
TripTracker Capability,"








I
have purchased a TripTracker license for two of the websites that I manage. The
software works as promised, and makes a wonderful addition to the website.
Thank you for a great product.
 
The
reason for the email is ask about a capability. I would like to add TripTracker
to a third website, but that application calls for the use of some background
music as the photos display. Is there a way with TripTracker, or via some outboard
technique, to have background music, e.g. MP3 tracks?
 
Joe



",0,CEAS-08,68,outlier
Re:,"
Love is the beginning of all the joy which nature has store for us. http://s.dictionarybrown.com


",1,CEAS-08,69,outlier
Unbelievably cheap high fashion watch,"This store brings to you a wide variety of ritzy watches, jewelry and accessories http://dearplay.com/",1,CEAS-08,72,outlier
buildbot failure in t-feisty-561,"The Buildbot has detected a new failure of t-feisty-561.
Full details are available at:
 http://buildbot.spamassassin.org:8010/t-feisty-561/builds/150

Buildbot URL: http://buildbot.spamassassin.org:8010/

Buildslave for this Build: t-feisty-561

Build Reason: 
Build Source Stamp: HEAD
Blamelist: jm

BUILD FAILED: failed test

sincerely,
 -The Buildbot


",0,CEAS-08,77,outlier
